@relation California-housing-19

@attribute Value numeric
@attribute Income numeric
@attribute Median-Age numeric
@attribute Rooms numeric
@attribute Bedrooms numeric
@attribute 'Population ' numeric
@attribute Occupancy numeric
@attribute Latitude numeric
@attribute Longitude numeric

@data
1.055,1.808,52,4.780856,1.060453,1102,2.775819,37.85,-122.28
1.089,1.6424,50,4.401691,1.040169,1131,2.391121,37.84,-122.28
1.32,1.6875,52,4.703226,1.032258,395,2.548387,37.84,-122.28
1.223,1.9274,49,5.068783,1.18254,863,2.283069,37.84,-122.28
1.152,1.9615,52,4.882086,1.090703,1168,2.648526,37.84,-122.28
1.104,1.7969,48,5.737313,1.220896,1026,3.062687,37.84,-122.27
1.049,1.375,49,5.030395,1.112462,754,2.291793,37.83,-122.27
1.097,2.7303,51,4.972015,1.070896,1258,2.347015,37.83,-122.27
0.972,1.4861,49,4.602273,1.068182,570,2.159091,37.83,-122.27
1.045,1.0972,48,4.807487,1.15508,987,2.639037,37.83,-122.27
1.039,1.4103,52,3.74938,0.967742,901,2.235732,37.83,-122.28
1.914,3.48,52,4.757282,1.067961,689,2.229773,37.83,-122.26
1.76,2.5898,52,3.494253,1.027299,1377,1.978448,37.83,-122.26
1.554,2.0978,52,4.21519,1.060759,946,2.394937,37.83,-122.26
1.5,1.2852,51,3.759036,1.248996,517,2.076305,37.83,-122.26
1.188,1.025,49,3.772487,1.068783,462,2.444444,37.84,-122.26
1.888,3.9643,52,4.79798,1.020202,467,2.358586,37.84,-122.26
1.844,3.0125,52,4.941781,1.065068,660,2.260274,37.83,-122.26
1.823,2.6768,52,4.335079,1.099476,718,1.879581,37.83,-122.26
1.425,2.026,50,3.700658,1.059211,616,2.026316,37.83,-122.26
1.375,1.7348,43,3.980237,1.233202,558,2.205534,37.82,-122.27
1.875,0.9506,40,3.9,1.21875,423,2.64375,37.82,-122.26
1.125,1.775,40,2.6875,1.065341,700,1.988636,37.82,-122.27
1.719,0.9218,21,2.045662,1.034247,735,1.678082,37.82,-122.27
0.938,1.5045,43,4.589681,1.120393,1061,2.60688,37.82,-122.27
0.975,1.1108,41,4.473611,1.184722,1959,2.720833,37.82,-122.27
1.042,1.2475,52,4.075,1.14,1162,2.905,37.82,-122.27
0.875,1.6098,52,5.021459,1.008584,701,3.008584,37.82,-122.28
0.831,1.4113,52,4.295455,1.104545,576,2.618182,37.82,-122.28
0.875,1.5057,52,4.779923,1.111969,622,2.401544,37.82,-122.28
0.853,0.8172,52,6.102459,1.372951,728,2.983607,37.82,-122.28
0.803,1.2171,52,4.5625,1.121711,1074,3.532895,37.82,-122.28
0.6,2.5625,2,2.77193,0.754386,94,1.649123,37.82,-122.29
0.757,3.3929,52,5.994652,1.128342,554,2.962567,37.83,-122.29
0.75,6.1183,49,5.869565,1.26087,86,3.73913,37.82,-122.29
0.861,0.9011,50,6.229508,1.557377,377,3.090164,37.81,-122.29
0.761,1.191,52,7.698113,1.490566,521,3.27673,37.81,-122.3
0.735,2.5938,48,6.225564,1.368421,392,2.947368,37.81,-122.3
0.784,1.1667,52,5.40107,1.117647,604,3.229947,37.81,-122.3
0.844,0.8056,48,4.38253,1.066265,788,2.373494,37.81,-122.3
0.813,2.6094,52,6.986395,1.659864,492,3.346939,37.8,-122.29
0.85,1.8516,52,6.97561,1.329268,274,3.341463,37.81,-122.3
1.292,0.9802,46,4.584288,1.05401,1823,2.983633,37.81,-122.29
0.825,1.7719,26,6.047244,1.19685,392,3.086614,37.81,-122.29
0.952,0.7286,46,3.375451,1.072202,582,2.101083,37.81,-122.29
0.75,1.75,49,5.552632,1.342105,560,3.684211,37.81,-122.29
0.675,0.4999,46,1.714286,0.571429,18,2.571429,37.81,-122.29
1.375,2.483,20,6.278195,1.210526,290,2.180451,37.81,-122.29
1.775,0.9241,17,2.817768,1.052392,762,1.735763,37.81,-122.28
1.021,2.4464,36,5.724951,1.104126,1236,2.428291,37.81,-122.28
1.083,1.1111,19,5.830918,1.173913,721,3.483092,37.81,-122.28
1.125,0.8026,23,5.369231,1.150769,1054,3.243077,37.81,-122.29
1.313,2.0114,38,4.412903,1.135484,344,2.219355,37.8,-122.28
1.625,1.5,17,3.197232,1,609,2.107266,37.81,-122.28
1.125,1.1667,52,3.75,1,183,3.267857,37.81,-122.27
1.125,1.5208,52,3.908046,1.114943,200,2.298851,37.81,-122.28
1.375,0.8075,52,2.490323,1.058065,346,2.232258,37.81,-122.28
1.188,1.8088,35,5.609467,1.088757,467,2.763314,37.81,-122.28
0.982,2.4083,52,6.721739,1.243478,377,3.278261,37.81,-122.28
1.188,0.977,40,2.315789,1.186842,582,1.531579,37.81,-122.27
1.625,0.76,10,2.651515,1.054545,546,1.654545,37.81,-122.27
1.375,0.9722,10,2.692308,1.076923,125,3.205128,37.8,-122.27
5.00001,1.2434,52,2.929412,0.917647,396,4.658824,37.8,-122.27
1.625,2.0938,16,2.745856,1.082873,800,2.209945,37.8,-122.27
1.375,0.8668,52,2.443182,0.988636,904,10.272727,37.8,-122.28
1.625,0.75,52,2.823529,0.911765,191,5.617647,37.8,-122.28
1.875,2.6354,27,3.493377,1.149007,718,2.377483,37.79,-122.27
1.792,1.8477,39,3.672377,1.334047,1327,2.841542,37.8,-122.27
1.3,2.0096,36,2.294016,1.066294,3469,1.493328,37.8,-122.26
1.838,2.8345,31,3.894915,1.127966,2048,1.735593,37.82,-122.26
1.25,2.0062,29,3.681319,1.175824,202,2.21978,37.81,-122.26
1.7,1.2185,22,2.9456,1.016,2024,1.6192,37.82,-122.26
1.931,2.6104,37,3.707143,1.107143,1838,1.87551,37.82,-122.26
2.578,2.4912,29,3.7248,1.1312,2304,1.8432,37.81,-122.25
2.734,3.2177,28,3.878424,1.070808,2563,1.712091,37.81,-122.25
2.375,3.125,39,3.745614,1.061404,389,1.70614,37.81,-122.25
3.5,2.5795,52,3.515498,1.143556,895,1.460033,37.81,-122.25
3.357,2.8406,34,3.281722,1.069871,2689,1.503074,37.81,-122.26
3.134,4.9306,52,6.184426,0.922131,674,2.762295,37.82,-122.24
2.685,3.2727,52,4.442982,1.057018,709,1.554825,37.81,-122.24
2.594,3.1691,52,4.165877,1.090047,686,1.625592,37.81,-122.25
2.757,3.9,52,4.848189,1.045961,1444,2.011142,37.82,-122.24
2.25,3.9063,28,4.160848,1.066085,1520,1.895262,37.82,-122.25
2.625,5.0917,52,5.628458,1.142292,550,2.173913,37.82,-122.25
2.185,2.6429,32,3.727006,1.074364,1806,1.767123,37.82,-122.25
2.55,3.0233,26,3.253081,0.982744,1749,1.437141,37.82,-122.25
2.241,3.1484,52,4.578035,1.077071,939,1.809249,37.83,-122.25
2.431,3.4722,35,3.822275,1.014218,675,1.599526,37.83,-122.25
2.316,3.1429,52,4.395189,0.986254,534,1.835052,37.83,-122.25
2.185,2.4234,28,3.02348,1.053582,2558,1.540036,37.83,-122.25
2.341,3.0897,52,4.040501,1.065574,1786,1.722276,37.83,-122.25
3.276,5.8596,50,6.742627,1.069705,970,2.600536,37.84,-122.23
3.476,5.2868,47,6.546392,0.936082,1098,2.263918,37.84,-122.23
3.661,5.956,41,6.851064,1.079787,794,2.111702,37.83,-122.24
3.35,4.9643,37,7.106383,1.148936,98,2.085106,37.85,-122.24
3.736,6.3434,52,6.947891,1.019851,1061,2.632754,37.85,-122.23
3.895,5.1773,52,6.358559,1.034234,1177,2.120721,37.84,-122.24
3.911,7.2354,52,7.117166,0.99455,901,2.455041,37.85,-122.24
3.373,5.457,28,5.530335,1.096234,2031,2.124477,37.85,-122.22
2.952,7.5,50,6.127349,0.987474,1031,2.152401,37.84,-122.22
2.923,6.0194,44,5.735343,1,1358,2.274707,37.84,-122.21
4.115,7.5544,40,7.631498,1.030581,1616,2.470948,37.83,-122.21
3.115,6.0666,30,6.446064,1.008746,844,2.460641,37.84,-122.2
3.259,7.0548,34,6.125,0.987903,1140,2.298387,37.84,-122.21
3.926,11.6017,18,8.335052,1.082474,533,2.747423,37.84,-122.19
3.193,7.4882,35,6.467269,1.038375,1072,2.419865,37.84,-122.2
3.333,6.8976,34,6.612272,1.028721,1627,2.124021,37.83,-122.21
3.352,8.2049,28,6.978947,0.968421,463,2.436842,37.83,-122.19
3.512,8.401,26,7.530806,1.056872,542,2.56872,37.83,-122.2
3.689,6.8538,29,6.657993,1.007435,661,2.457249,37.83,-122.19
3.659,8.317,32,6.977186,1.003802,635,2.414449,37.82,-122.19
3.667,7.0175,37,6.982955,1.028409,420,2.386364,37.82,-122.2
3.628,6.3302,39,7.54,1.068,1265,2.53,37.82,-122.2
4.833,6.3624,30,5.615385,0.730769,126,2.423077,37.81,-122.18
3.314,7.0549,52,6.785714,0.951429,813,2.322857,37.82,-122.21
3.235,6.7851,45,6.957746,1.023474,1067,2.504695,37.81,-122.2
2.167,2.8929,50,5.132246,1.096014,1260,2.282609,37.8,-122.21
2.331,3.0812,38,4.628337,1.098563,951,1.952772,37.8,-122.21
2.964,5.2402,52,6.200893,0.946429,510,2.276786,37.81,-122.21
2.737,6.5217,52,6.399351,1.087662,765,2.483766,37.81,-122.22
2.277,3.2632,52,4.745652,1.01087,1129,2.454348,37.8,-122.22
1.996,3.0298,52,5.183673,1.052154,1073,2.433107,37.8,-122.22
2.398,4.5428,52,5.283495,1.050485,1185,2.300971,37.8,-122.22
2.701,4.072,52,5.952941,0.997059,756,2.223529,37.81,-122.22
3.021,5.3509,52,5.650672,1.028791,1034,1.984645,37.81,-122.22
2.695,3.1603,52,4.429194,1.058824,787,1.714597,37.8,-122.23
3.147,4.7708,52,6.7277,1.075117,612,2.873239,37.81,-122.23
3.901,8.1564,52,7.702632,1.057895,1021,2.686842,37.81,-122.22
4.103,8.8793,52,8.972868,1.131783,861,3.337209,37.81,-122.23
3.524,6.8591,52,7.599388,0.957187,953,2.914373,37.81,-122.24
2.873,6.0302,52,5.820313,0.929688,634,2.476563,37.81,-122.24
3.487,7.508,52,7.994318,1.036932,878,2.494318,37.81,-122.23
2.438,2.7477,52,4.333333,1.138716,918,1.900621,37.81,-122.24
2.115,2.1944,52,5.074286,0.96,360,2.057143,37.8,-122.24
2.184,3.0149,52,4.276639,1.045082,1197,2.452869,37.8,-122.25
2.699,3.675,52,4.851351,0.969112,1048,2.023166,37.81,-122.24
2.188,3.225,46,4.32664,1.117805,1373,1.838019,37.81,-122.25
2.25,2.9345,42,4.059113,1.049261,1715,1.689655,37.8,-122.25
2.5,2.1429,43,3.274238,1.096953,1359,1.882271,37.8,-122.25
1.714,1.6121,41,3.561743,1.135593,1062,2.571429,37.8,-122.25
1.938,1.3929,29,3.192755,1.117723,1335,1.727038,37.8,-122.25
1.25,2.3173,27,3.804196,1.146853,1171,2.729604,37.79,-122.24
0.975,1.7772,45,3.882609,1.143478,1475,3.206522,37.79,-122.25
1.25,2.6458,50,3.209184,0.959184,742,3.785714,37.79,-122.25
1.388,2.181,52,3.688705,1.077135,1086,2.991736,37.79,-122.25
1.167,2.2303,36,3.090239,1.116022,1645,3.029466,37.8,-122.25
1.518,1.6504,43,3.639752,1.004658,1710,2.65528,37.8,-122.25
1.27,2.2697,52,4.368421,1,731,3.20614,37.8,-122.24
1.286,2.1563,52,4.585014,1.074928,1118,3.221902,37.8,-122.24
1.406,2.1348,52,4.734328,1.18806,1006,3.002985,37.8,-122.24
1.827,2.6292,47,3.693141,1.061372,1213,2.189531,37.8,-122.24
1.469,2.3833,52,4.638132,1.124514,772,3.003891,37.8,-122.23
1.228,2.957,52,4.496259,1.047382,1321,3.294264,37.8,-122.24
1.693,2.5238,49,4.192024,1.106352,1487,2.196455,37.8,-122.24
1.266,1.9375,52,4.209677,0.989247,488,2.623656,37.8,-122.23
1.279,1.9028,51,4.056122,1.056122,949,2.420918,37.8,-122.23
1.235,2.25,50,4.207229,1.156627,1149,2.768675,37.8,-122.23
1.119,2.3929,52,4.471429,1.067857,844,3.014286,37.8,-122.23
1.128,2.1917,43,4.844029,1.091795,4367,3.547522,37.79,-122.23
1.079,2.9357,52,4.32767,0.958738,1659,4.026699,37.79,-122.23
1.375,1.8854,30,3.798479,1.003802,1011,3.844106,37.79,-122.23
1.055,2.1638,39,3.77635,1.107969,1464,3.763496,37.79,-122.24
0.955,2.125,47,4.528053,1.30363,1237,4.082508,37.79,-122.24
1.161,3.375,52,4.011905,1.071429,647,3.85119,37.79,-122.24
1.122,2.2542,43,4.554622,1.053221,1284,3.596639,37.79,-122.24
0.75,2.1,51,3.181818,0.781818,228,4.145455,37.79,-122.25
1.125,1.6,39,3.747967,1.04878,381,3.097561,37.79,-122.25
1.25,3.625,52,3.973568,1.044053,846,3.726872,37.79,-122.25
1.15,1.6929,20,3.510355,1.152367,1659,2.454142,37.8,-122.26
0.95,1.6471,52,2.833333,0.927536,520,3.768116,37.77,-122.22
0.964,2.59,52,4.389961,1.162162,866,3.343629,37.77,-122.22
0.72,2.57,52,4.202186,1.125683,612,3.344262,37.77,-122.23
0.713,2.6429,52,3.746032,1.15873,415,3.293651,37.78,-122.23
0.808,3.0257,52,4.046948,1.00939,994,4.666667,37.78,-122.23
1.288,1.4886,50,4.025157,1.111111,1525,3.197065,37.78,-122.22
1.125,1.9338,43,3.242009,1.077626,1506,3.438356,37.78,-122.23
1.194,1.4844,52,3.866667,1.011765,1008,3.952941,37.78,-122.23
1.181,1.6009,44,3.115846,1.098535,2813,3.745672,37.78,-122.23
1.225,2.0375,48,4.944606,1.154519,1481,4.317784,37.79,-122.23
1.063,2.293,49,5.365297,0.990868,859,3.922374,37.79,-122.23
1.325,2.1494,37,4.479924,1.097514,1608,3.07457,37.79,-122.22
1.227,1.6198,30,4.357143,1.035714,425,3.035714,37.79,-122.23
1.133,1.3281,40,5.054348,1.081522,564,3.065217,37.79,-122.23
1.095,3.5156,44,5.466912,1.154412,961,3.533088,37.79,-122.22
1.647,3.9048,52,4.99854,1.007299,2273,3.318248,37.79,-122.22
1.25,3.0893,52,3.907692,0.974359,600,3.076923,37.79,-122.21
1.247,2.6042,46,4.489564,1.091082,1647,3.125237,37.79,-122.22
1.367,2.5,49,4.306604,1.061321,1201,2.832547,37.79,-122.22
1.417,2.7969,38,4.626707,1.078907,2167,3.288316,37.79,-122.22
1.5,2.8321,29,4.823529,1.105882,939,2.761765,37.79,-122.2
1.388,2.9583,47,5.284247,1.05137,859,2.941781,37.79,-122.21
1.392,2.8365,34,4.581395,1.079457,1517,2.939922,37.79,-122.21
1.438,2.875,35,4.520725,1.059585,1143,2.96114,37.79,-122.21
1.565,3.0682,39,4.31681,1.077586,1109,2.390086,37.8,-122.21
1.51,3.0757,39,4.524664,1.002242,1221,2.737668,37.8,-122.21
2.73,4.9559,43,6.692308,1.096703,1115,2.450549,37.8,-122.2
2.171,4.7721,52,5.772388,1.093284,706,2.634328,37.8,-122.2
1.871,3.4861,52,4.984419,1.007082,1883,2.667139,37.8,-122.21
2.396,5.1184,41,6.088235,1.041176,804,2.364706,37.8,-122.2
2.297,4.0977,48,5.242063,1.043651,506,2.007937,37.8,-122.21
2.573,4.744,48,7.117647,1.088235,610,2.563025,37.8,-122.19
2.469,4.2727,46,5.837349,1.027108,768,2.313253,37.8,-122.19
1.799,2.9844,50,5.26087,1.059783,462,2.51087,37.79,-122.19
1.696,4.1739,40,4.510638,1.089362,667,2.838298,37.79,-122.2
2.033,3.8487,46,5.115288,1.015038,1059,2.654135,37.8,-122.2
2.634,4.0114,52,6.545126,0.978339,637,2.299639,37.8,-122.19
2.318,4.6563,45,5.986784,0.993392,1106,2.436123,37.79,-122.19
1.405,2.9297,28,4.699552,1.137519,1737,2.596413,37.79,-122.19
1.26,2.3036,35,4.620513,1.176923,1009,2.587179,37.79,-122.2
1.22,2.6667,49,4.2,0.928571,737,3.509524,37.79,-122.2
1.347,2.619,44,3.301426,0.92057,1354,2.757637,37.79,-122.2
1.394,2.4167,45,4.462025,1.124473,1530,3.227848,37.79,-122.21
1.154,2.7788,45,4.210417,1.1,1410,2.9375,37.79,-122.2
1.373,2.7352,46,3.934974,0.892794,1390,2.442882,37.78,-122.21
1.37,1.8472,52,5.490706,1.115242,1065,3.959108,37.78,-122.21
1.426,2.6583,52,4.310204,0.914286,792,3.232653,37.78,-122.21
1.375,3.0536,49,3.665306,0.995918,779,3.179592,37.78,-122.21
1.117,2.3906,44,4.865574,1.163934,2269,3.719672,37.78,-122.22
1.268,1.7188,43,4.181818,1.130221,1227,3.014742,37.78,-122.21
1.113,2.625,47,3.655602,1.029046,753,3.124481,37.78,-122.21
1.148,2.8015,40,3.659259,0.844444,547,4.051852,37.77,-122.22
1.023,1.7276,50,4.036364,1.075,1807,4.106818,37.78,-122.22
1.319,2.0801,44,3.389899,1.038384,1700,3.434343,37.78,-122.22
1.191,2.489,51,4.165394,1.178117,1543,3.926209,37.78,-122.22
0.806,1.7546,52,4.733333,1.046667,1085,3.616667,37.76,-122.21
0.806,4.0904,52,4.313869,1.262774,353,2.576642,37.77,-122.21
0.888,2.6765,52,5,1.026846,473,3.174497,37.77,-122.21
1.024,2.4338,49,4.703934,1.031056,1621,3.356108,37.77,-122.2
0.987,2.3309,46,3.485876,1.059322,1183,3.341808,37.77,-122.21
1,2.2604,43,3.67148,1.184116,836,3.018051,37.77,-122.21
0.923,1.8039,42,3.543726,0.965779,900,3.422053,37.77,-122.19
0.948,2.2562,39,5.007449,1.111732,1888,3.515829,37.77,-122.2
1.02,2.0562,41,4.536657,1.217009,1024,3.002933,37.77,-122.2
1.584,3.5398,52,5.437352,1.047281,1225,2.895981,37.78,-122.2
1.216,3.1167,39,4.659574,1.06117,1071,2.848404,37.78,-122.2
1.291,2.5401,50,4.939153,1.066138,1128,2.984127,37.78,-122.2
1.214,2.898,43,5.020661,1.03719,1537,3.17562,37.77,-122.2
1.028,2.3125,44,4.399491,1.053435,1240,3.155216,37.78,-122.21
1.6,2.875,52,6.107143,1.071429,469,2.791667,37.78,-122.19
1.439,3.3715,52,5.105882,1.007059,1086,2.555294,37.77,-122.19
1.512,3.5114,52,5.585132,1.067146,1144,2.743405,37.77,-122.19
1.644,4.3125,52,6.645333,1.106667,1109,2.957333,37.78,-122.19
1.565,3.22,52,5.95664,1.075881,984,2.666667,37.78,-122.19
2.25,3.875,33,3.021277,0.659574,575,12.234043,37.78,-122.18
1.742,5.2328,49,5.660287,0.980861,496,2.373206,37.78,-122.19
1.669,3.7262,52,5.631579,1.015789,555,2.921053,37.78,-122.19
1.635,4.5893,45,5.400612,1.015291,869,2.657492,37.78,-122.2
2.53,5.2578,39,5.820755,0.896226,236,2.226415,37.79,-122.18
2.407,7.0875,41,6.593458,1.088785,626,2.925234,37.79,-122.18
2.081,3.9712,46,6.410334,1.176292,922,2.802432,37.79,-122.18
1.981,2.9514,47,4.800781,0.949219,582,2.273438,37.79,-122.19
1.728,2.6667,50,4.746269,1.079602,546,2.716418,37.79,-122.19
3.367,5.4446,37,6.176692,0.984962,620,2.330827,37.81,-122.18
3.182,6.2838,34,6.948718,1,442,2.266667,37.8,-122.18
2.858,6.7527,23,7.064024,1.02439,955,2.911585,37.8,-122.18
2.93,7.0712,24,7.589506,0.978395,916,2.82716,37.77,-122.13
3.71,5.9849,22,6.528724,1.041179,4985,2.534316,37.79,-122.16
1.573,3.6875,42,5.707865,0.973783,651,2.438202,37.78,-122.17
1.353,2.875,30,4.731152,1.061166,1704,2.423898,37.77,-122.17
1.367,3.4205,43,4.87715,1.081081,1085,2.665848,37.78,-122.18
1.607,3.2984,50,5.78169,1.133803,713,2.510563,37.78,-122.18
1.406,3.875,49,4.933702,0.977901,468,2.585635,37.78,-122.17
1.44,4.175,52,5.396694,1.057851,296,2.446281,37.78,-122.17
1.619,4.375,47,5.761468,0.995413,570,2.614679,37.77,-122.16
1.563,4.7708,48,5.427778,1.077778,446,2.477778,37.77,-122.16
1.76,3.5739,45,6.052083,1.033854,968,2.520833,37.77,-122.16
1.458,3.0958,39,5.009494,1.10443,857,2.712025,37.77,-122.16
1.419,3.3958,39,5.006211,1.062112,912,2.832298,37.77,-122.17
0.907,1.871,31,5.362832,1.179204,1360,3.00885,37.77,-122.17
0.906,1.9356,41,4.490141,1.033803,1074,3.025352,37.76,-122.17
1.079,2.1842,47,5.544503,1.081152,965,2.526178,37.76,-122.17
1.07,2.2917,37,4.921875,1.11875,933,2.915625,37.76,-122.18
0.982,2.4333,38,4.983051,1.121469,987,2.788136,37.76,-122.17
0.895,1.9479,50,4.825203,1.060976,907,3.686992,37.76,-122.18
0.938,3.9063,52,4.569697,1.060606,447,2.709091,37.76,-122.18
0.967,1.8407,49,5.117517,1.002217,1299,2.880266,37.76,-122.18
0.975,2.0786,27,5.789809,1.503185,396,2.522293,37.77,-122.18
0.973,2.8125,42,4.402985,0.958955,877,3.272388,37.77,-122.18
0.912,1.8913,43,5.498638,1.111717,1111,3.027248,37.76,-122.18
0.914,1.7056,49,5.085502,1.048327,790,2.936803,37.76,-122.19
0.962,2.2768,52,4.953069,0.987365,1479,2.669675,37.77,-122.18
1.201,3.2552,51,4.810502,1.075342,1173,2.678082,37.77,-122.18
1,2.0556,52,4.775956,0.989071,1029,2.811475,37.77,-122.18
0.947,2.4659,52,5.782857,1.117143,1030,2.942857,37.76,-122.19
0.857,1.75,47,4,0.928315,826,2.960573,37.76,-122.2
0.893,2.0469,41,4.484581,1.123348,1412,3.110132,37.77,-122.19
1.014,2.7159,45,5.30659,1.126074,1132,3.243553,37.77,-122.19
0.725,1.2083,41,5.792453,1.301887,522,3.283019,37.76,-122.19
0.741,1.925,45,4.198312,1.004219,630,2.658228,37.76,-122.19
0.7,1.5809,36,4.556391,0.992481,531,3.992481,37.75,-122.2
0.846,1.4097,37,4.017991,1.103448,1925,2.886057,37.76,-122.2
0.818,0.7683,38,4.253561,1.054131,1144,3.259259,37.76,-122.19
0.814,1.3194,19,4.244231,1.086538,1481,2.848077,37.75,-122.19
0.818,0.8012,28,5.283951,1.166667,435,2.685185,37.75,-122.19
0.858,1.9479,26,4.267327,0.980198,984,3.247525,37.76,-122.19
0.871,1.1765,36,5.327044,1.333333,567,3.566038,37.74,-122.19
0.835,2.3456,42,4.398374,1.252033,380,3.089431,37.74,-122.18
0.797,2.1538,44,4.368852,1.036885,825,3.381148,37.73,-122.19
0.834,2.5139,43,4.56129,0.948387,417,2.690323,37.74,-122.19
0.847,1.2625,45,5.324042,1.013937,801,2.790941,37.73,-122.19
0.8,2.9063,42,4.590909,1.085859,646,3.262626,37.73,-122.18
0.764,2.5192,43,4.880702,1.02807,855,3,37.73,-122.18
0.797,2.1111,44,4.029412,0.875,435,3.198529,37.73,-122.18
0.824,2.455,42,5.223077,1.120513,2736,3.507692,37.73,-122.18
0.977,2.4028,41,3.896135,1.074879,1481,3.577295,37.74,-122.17
0.972,2.15,47,3.379562,0.978102,327,2.386861,37.74,-122.17
1.016,2.4776,43,4.569832,1.078212,494,2.759777,37.74,-122.17
0.865,2.1587,43,4.319648,1.087977,1231,3.609971,37.73,-122.17
0.905,1.8438,35,4.623853,1.155963,323,2.963303,37.74,-122.18
1.076,3.0298,46,4.56,1.004444,749,3.328889,37.74,-122.17
0.842,2.25,46,4.320225,1.02809,693,3.893258,37.74,-122.17
0.889,2.2467,46,5.940678,1.10452,1339,3.782486,37.74,-122.18
0.807,4.0469,45,4.125,0.95,282,3.525,37.75,-122.18
0.871,1.325,46,4.825641,1.117949,621,3.184615,37.75,-122.18
0.851,1.6196,38,3.830116,1.07722,732,2.826255,37.75,-122.17
0.82,2.1731,45,3.807692,1.003846,901,3.465385,37.75,-122.18
0.828,1.9167,36,7.506667,1.753333,482,3.213333,37.75,-122.19
0.846,2.069,43,4.86385,1.093897,652,3.061033,37.75,-122.18
0.821,1.712,36,6.307229,1.289157,651,3.921687,37.75,-122.18
0.893,2.5625,33,4.475524,1.073427,999,3.493007,37.76,-122.17
0.983,1.9821,43,5.186275,1.045752,907,2.964052,37.75,-122.17
0.923,2.5043,41,5.465217,1.178261,828,3.6,37.75,-122.17
0.888,2.3281,44,4.795276,0.976378,763,3.003937,37.75,-122.17
0.9,1.4375,48,5.017192,1.117479,935,2.679083,37.75,-122.17
0.955,2.5122,45,4.75,1.061983,1437,2.969008,37.76,-122.16
0.917,1.5625,38,5.09751,1.294606,1516,3.145228,37.75,-122.16
1.004,3.1587,47,5.394595,1.140541,597,3.227027,37.75,-122.17
0.948,1.8426,40,4.926901,1.002924,949,2.774854,37.76,-122.17
1.643,4.6696,46,6.049669,1.016556,881,2.917219,37.76,-122.16
1.555,2.4598,36,5.358382,1.105973,1438,2.770713,37.76,-122.16
1.969,6.0749,39,6.751852,1.059259,763,2.825926,37.76,-122.15
2.791,4.8304,27,6.278873,1.028169,1297,3.653521,37.77,-122.14
2.528,5.5701,34,7.170616,1.094787,545,2.582938,37.76,-122.14
2.754,5.37,26,6.12758,0.921201,1222,2.292683,37.76,-122.13
2.5,6.86,33,8.260274,1.191781,808,3.689498,37.75,-122.12
3.298,7.6923,28,7.284404,1.018349,329,3.018349,37.75,-122.12
1.955,4.0313,36,6.330275,0.963303,299,2.743119,37.75,-122.14
2.559,6.8323,33,6.60396,0.990099,579,2.866337,37.75,-122.14
3.111,4.975,30,8.28,1.08,137,2.74,37.75,-122.13
3.3,5.3602,36,8.258065,1,229,2.462366,37.75,-122.13
2.489,5,41,6.790123,1.027778,1476,2.277778,37.74,-122.13
1.429,2.925,46,6.194805,1.045455,429,2.785714,37.75,-122.16
1.263,3.8913,40,5.666667,1.003922,849,3.329412,37.75,-122.15
1.358,3.225,44,5.854985,1.205438,946,2.858006,37.75,-122.15
